locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T13:15:00+00:00,2021-09-30T18:45:00+05:30,pm10,178,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T12:45:00+00:00,2021-09-30T18:15:00+05:30,pm10,376,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T12:45:00+00:00,2021-09-30T18:15:00+05:30,pm25,242,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T12:15:00+00:00,2021-09-30T17:45:00+05:30,pm10,376,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T12:15:00+00:00,2021-09-30T17:45:00+05:30,pm25,242,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T11:45:00+00:00,2021-09-30T17:15:00+05:30,pm25,42,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T11:45:00+00:00,2021-09-30T17:15:00+05:30,pm10,134,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T10:45:00+00:00,2021-09-30T16:15:00+05:30,pm10,124,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T10:00:00+00:00,2021-09-30T15:30:00+05:30,pm10,92,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T09:30:00+00:00,2021-09-30T15:00:00+05:30,pm10,92,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T09:00:00+00:00,2021-09-30T14:30:00+05:30,pm10,102,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T09:00:00+00:00,2021-09-30T14:30:00+05:30,pm25,17,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T08:30:00+00:00,2021-09-30T14:00:00+05:30,pm25,17,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T08:30:00+00:00,2021-09-30T14:00:00+05:30,pm10,102,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T08:15:00+00:00,2021-09-30T13:45:00+05:30,pm25,17,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T08:15:00+00:00,2021-09-30T13:45:00+05:30,pm10,102,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T07:30:00+00:00,2021-09-30T13:00:00+05:30,pm10,50,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T07:00:00+00:00,2021-09-30T12:30:00+05:30,pm25,52,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T07:00:00+00:00,2021-09-30T12:30:00+05:30,pm10,145,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T06:45:00+00:00,2021-09-30T12:15:00+05:30,pm10,145,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T06:45:00+00:00,2021-09-30T12:15:00+05:30,pm25,52,µg/m³,28.647622,77.315809
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-09-30T06:00:00+00:00,2021-09-30T11:30:00+05:30,pm25,48,µg/m³,28.647622,77.315809
